frame_id,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad)
318,104562409183,0.0013,-0.0023,-0.1027,0.0535,0.0203,0.0752
319,104597508445,0.0046,-0.0047,-0.1023,0.0515,0.0116,0.0861
320,104632605697,0.0060,-0.0063,-0.1020,0.0453,0.0074,0.0896
321,104667755744,0.0079,-0.0084,-0.1020,0.0378,0.0043,0.0935
322,104694080452,0.0120,-0.0121,-0.1019,0.0337,-0.0000,0.0995
323,104729201578,0.0151,-0.0148,-0.1022,0.0240,-0.0056,0.1127
324,104764310144,0.0191,-0.0174,-0.1022,0.0163,-0.0136,0.1253
325,104799417293,0.0236,-0.0187,-0.1033,0.0194,-0.0232,0.1351
326,104834519045,0.0257,-0.0196,-0.1035,0.0214,-0.0339,0.1457
327,104860844356,0.0285,-0.0208,-0.1032,0.0248,-0.0429,0.1523
328,104895940927,0.0319,-0.0233,-0.1019,0.0253,-0.0539,0.1614
329,104931049426,0.0349,-0.0250,-0.1025,0.0131,-0.0728,0.1712
330,104966167481,0.0372,-0.0279,-0.1025,-0.0020,-0.0868,0.1821
331,105001297609,0.0398,-0.0290,-0.1020,-0.0051,-0.0952,0.1868
332,105027631082,0.0415,-0.0287,-0.1012,0.0020,-0.0982,0.1866
333,105062774877,0.0398,-0.0274,-0.1001,0.0059,-0.0905,0.1811
334,105097891602,0.0407,-0.0267,-0.1002,0.0079,-0.0878,0.1796
335,105132995920,0.0430,-0.0261,-0.0992,0.0094,-0.0885,0.1879
336,105168105902,0.0430,-0.0248,-0.0992,0.0089,-0.0901,0.1969
337,105194427702,0.0422,-0.0238,-0.0985,0.0068,-0.0913,0.1967
338,105229560357,0.0396,-0.0217,-0.0985,0.0023,-0.0934,0.1954
339,105264710369,0.0376,-0.0198,-0.1000,0.0034,-0.0811,0.1906
340,105299820371,0.0355,-0.0169,-0.1043,0.0059,-0.0637,0.1845
341,105326147354,0.0338,-0.0129,-0.1095,0.0133,-0.0544,0.1840
342,105361274214,0.0283,-0.0060,-0.1196,0.0288,-0.0525,0.1912
343,105396387481,0.0261,0.0020,-0.1296,0.0412,-0.0451,0.2039
